Latitude, Longitude, COTotalColumn,COMixingRatio surface,COMixingRatio 900hPa,COMixingRatio 800hPa,COMixingRatio 700hPa,COMixingRatio 600hPa, COMixingRatio 500hPa,COMixingRatio 400hPa,COMixingRatio 300hPa,COMixingRatio 200hPa,COMixingRatio 100hPa,RetrievedSurfaceTemperature 
13.9369,162.542,2.53954e+18,98.9927,117.508,138.591,175.573,190.135,165.545,115.019,79.616,66.9473,49.1076,300.046
14.1581,162.582,2.47939e+18,98.9789,118.44,140.444,177.251,187.892,157.147,105.465,72.7645,61.9457,46.4893,299.459
13.511,162.213,2.4158e+18,87.9004,90.2877,93.8506,105.842,116.836,133.902,153.781,169.583,136.009,59.8257,301.168
13.7287,162.249,2.40319e+18,87.2161,88.9652,92.2274,103.474,113.448,129.759,150.591,172.285,143.577,61.5631,299.9
13.9462,162.286,2.41857e+18,90.5416,95.8389,102.192,117.742,130.709,146.009,152.651,144.428,109.877,56.0655,299.71
14.164,162.325,2.41627e+18,91.694,98.081,105.631,122.671,136.358,150.294,150.544,133.843,100.151,53.9933,299.673
13.5658,161.728,2.38738e+18,90.931,96.5026,102.784,118.048,130.847,144.7,148.962,138.008,104.824,55.6542,300.918
13.7774,161.763,2.42094e+18,89.4874,93.1933,98.0186,111.143,122.611,138.358,152.294,158.155,126.936,59.6448,300.698
13.989,161.798,2.44159e+18,94.0813,103.835,114.512,135.658,150.869,157.726,142.159,114.695,87.7897,52.9515,299.97
14.2008,161.835,2.47377e+18,86.9361,87.8421,91.0275,101.511,110.715,127.497,154.36,192.757,161.952,61.1033,300.056
13.6146,161.269,2.33282e+18,90.5097,95.2668,100.753,114.314,125.608,138.726,144.649,136.11,104.039,55.9705,301.352
13.8216,161.302,2.31076e+18,95.6942,110.243,125.493,149.475,157.552,143.638,109.666,81.2249,68.1644,48.7877,299.342
13.6575,160.828,2.35466e+18,89.2562,92.8941,97.6865,110.05,120.936,135.58,148.203,149.422,115.599,58.3775,301.285
13.8608,160.86,2.35789e+18,90.7069,96.1486,102.663,116.79,128.406,141.042,144.943,135.288,105.307,57.0297,300.303
13.6975,160.402,2.44544e+18,85.8781,86.5561,89.2771,98.7513,107.473,122.466,148.082,190.393,171.27,66.3234,300.535
13.8982,160.433,2.39442e+18,95.8896,109.239,124.307,148.204,160.521,153.539,122.095,91.6467,74.386,50.3632,300.127
14.0987,160.465,2.41087e+18,91.042,98.0252,106.573,122.697,136.322,149.281,149.124,132.894,100.468,55.6423,298.979
14.2995,160.497,2.53588e+18,97.5614,113.023,131.655,160.215,176.103,167.534,130.095,94.6436,75.047,50.152,300.013
13.7338,159.985,2.45807e+18,101.34,127.15,157.614,193.273,186.705,136.109,85.8213,62.7413,59.2069,47.5545,300.184
13.9327,160.015,2.50006e+18,87.063,88.7967,92.7011,103.345,114.067,132.855,163.048,194.224,150.543,62.6841,299.877
14.1315,160.046,2.50469e+18,92.269,100.526,110.822,129.107,144.978,158.678,156.516,136.331,101.066,55.585,299.64
14.3306,160.078,2.5695e+18,94.1047,103.138,114.377,133.861,150.973,164.875,160.585,137.547,100.979,55.3094,300.573
